start	end	text
0	1980	Bonjour, je m'appelle Jean Dupont.
2400	8420	Je suis un développeur logiciel spécialisé dans les technologies TypeScript, Node.js et WebRTC,
8940	14060	avec une solide expertise dans la gestion et le traitement de données audio et vidéo en temps réel.
14480	20160	À ce jour, j'ai eu l'opportunité de contribuer à des projets exigeants,
20440	22800	où j'ai combiné mes compétences en développement back-end,
23120	28580	notamment avec TypeORM et MySQL, pour structurer et stocker des données de manière performante.
28580	33340	Une de mes spécialisations réside dans l'intégration de systèmes de reconnaissance vocale
33340	36700	pour extraire des informations clés d'enregistrement audio
36700	40020	en lien direct avec les besoins actuels en ressources humaines.
40840	44780	Depuis quelques années, j'ai pu travailler sur des plateformes de CV vidéo
44780	51140	où j'utilise WebRTC pour capturer audio et vidéo en haute qualité depuis le navigateur.
52820	56920	Je m'assure ensuite d'isoler l'audio afin de traiter les informations vocales
56920	59900	et d'en extraire des mots-clés et des compétences,
60640	67480	que ce soit en utilisant Deep Speech ou des API de partenaires comme Google AI et AWS Transcribe.
68320	73060	Cette expertise en reconnaissance vocale me permet d'offrir des solutions sur mesure aux recruteurs,
73680	79060	facilitant l'analyse rapide des compétences principales et des préférences géographiques des candidats.
79060	84060	Mon parcours m'a également permis de travailler avec l'API de France Travail
84060	90180	pour automatiser la reconnaissance des métiers, compétences et zones de mobilité dans les CV,
90840	96020	rendant l'expérience plus efficace pour les employeurs et plus intuitive pour les candidats.
97400	103360	Pour une meilleure expérience utilisateur, je développe aussi des outils d'optimisation du traitement audio
103360	107780	pour supprimer les hésitations et réduire le contenu vidéo au segment essentiel.
108780	113740	Dans mon parcours chez TechMedia Solutions, j'ai eu l'occasion de mener à bien des projets complexes,
114160	117380	tels que la réduction du temps de traitement de CV vidéo de 30 %
117380	122540	grâce à l'optimisation des processus d'extraction et d'indexation audio,
123260	126800	ou encore la mise en place d'une interface de géolocalisation
126800	130540	permettant aux recruteurs de filtrer les profils par zone géographique.
130540	137640	Grâce à cette expérience, je maîtrise parfaitement les processus liés à l'automatisation
137640	140060	de la sélection et du traitement de données vocales,
140700	143780	stockées de façon structurée en base de données MySQL.
145420	149380	En dehors de ces projets, je veille constamment à améliorer mes compétences,
149820	152840	notamment dans le domaine du machine learning appliqué à la voie.
154020	156400	Je suis aussi certifiée en développement web et mobile,
156400	159940	et j'ai suivi une spécialisation en intelligence artificielle
159940	164000	pour élargir mes compétences dans ce domaine en pleine croissance.
165040	168740	Quant à ma mobilité, je suis principalement basée en Ile-de-France,
169160	172260	mais je suis ouverte aux déplacements ponctuels en Europe.
173320	178860	Je reste également flexible pour m'adapter aux besoins spécifiques d'un projet ou d'une équipe.
179920	184760	Merci de votre attention et je reste à votre disposition pour toute question supplémentaire.
